"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-yes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\inline-delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\selector-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 5, 1, 117
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 0, 258, 0, 0, 0, 0, 28, 22, 308
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\actions.js", "JavaScript", 0, 0, 0, 0, 175, 0, 0, 0, 0, 9, 21, 205
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 317, 0, 0, 0, 0, 65, 27, 409
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, 216, 0, 0, 0, 0, 14, 23, 253
